SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2018-11-17,42.436838,-70.546958,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_01_northatlanticrightwhale_1d,9.934777166666668,0.3373922821428571,1.23660578,34.648551499999996,139.3913043478261,1,1,1,0,1,1,2018,11,321,-0.5000000000000004,0.8660254037844384
2019-04-23,42.4713583,-70.2427633,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_03_northatlanticrightwhale_1d,6.901001022222221,0.0,0.3054006866666667,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,113,0.8660254037844387,-0.4999999999999998
2018-12-16,31.396417,-80.8904,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,14.247026166666668,0.1330012224,3.27194634,34.648551499999996,49.08,1,1,1,0,1,1,2018,12,350,-2.4492935982947064e-16,1.0
2019-04-18,42.2554067,-70.17901,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_03_northatlanticrightwhale_1d,5.985582144444445,0.0,0.6683007703333333,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,108,0.8660254037844387,-0.4999999999999998
2019-01-10,42.25541,-70.178607,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_01_northatlanticrightwhale_1d,6.658440555555556,0.0411287925,0.6922113396666668,34.648551499999996,154.1,1,1,1,0,1,1,2019,1,10,0.4999999999999999,0.8660254037844387
2021-01-07,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_05_northatlanticrightwhale_1d,14.5559015,0.0,0.6227123472222222,34.648551499999996,72.0,1,1,1,0,1,1,2021,1,7,0.4999999999999999,0.8660254037844387
2019-02-20,42.25539,-70.178843,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_02_northatlanticrightwhale_1d,3.8610636333333335,0.0,0.4470796868965517,32.408351333333336,248.0,1,1,1,1,1,0,2019,2,51,0.8660254037844386,0.5000000000000001
2020-04-08,42.437243,-70.54595,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_09_northatlanticrightwhale_1d,6.33719478,0.1249391166666666,1.51862189,35.146007,63.03333333333333,1,1,1,1,1,0,2020,4,99,0.8660254037844387,-0.4999999999999998
2020-02-16,42.470965,-70.2426433,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_08_northatlanticrightwhale_1d,5.864444277777777,0.3389318488571428,0.7870552996666667,34.648551499999996,387.74285714285713,1,1,1,0,1,1,2020,2,47,0.8660254037844386,0.5000000000000001
2020-09-15,42.47099,-70.24229,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_11_northatlanticrightwhale_1d,18.630377777777777,0.0,1.2694564530769232,32.687134,38.0,1,1,1,1,1,0,2020,9,259,-1.0,-1.8369701987210294e-16
2020-02-25,42.255235,-70.1796283,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.867441799999999,0.5755452246666667,0.8982891419999999,34.648551499999996,379.6333333333333,1,1,1,0,1,1,2020,2,56,0.8660254037844386,0.5000000000000001
2020-02-05,42.255235,-70.1796283,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,6.818003333333333,0.4691320176818182,0.3129357083333333,39.222164,158.84615384615384,1,1,1,1,1,0,2020,2,36,0.8660254037844386,0.5000000000000001
2020-06-10,42.254995,-70.17908,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_09_northatlanticrightwhale_1d,14.862226666666666,0.2252127084615384,0.4791105324999999,31.348995,205.375,1,1,1,1,1,0,2020,6,162,1.2246467991473532e-16,-1.0
