SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-07-31,31.376133,-80.839133,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr02_02_northatlanticrightwhale_1d,27.771853888888888,0.0,0.50885106,35.0024134,45.0,1,1,1,1,1,0,2019,7,212,-0.4999999999999998,-0.8660254037844388
2005-01-08,30.63,-81.2,1,Winter,Visual,RWSAS sightings,,16.456071357142857,0.4799042777777778,2.25542171,34.41697,177.92857142857142,1,1,1,0,1,1,2005,1,8,0.4999999999999999,0.8660254037844387
2019-08-11,42.2555167,-70.179065,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_05_northatlanticrightwhale_1d,19.251047555555555,0.1292418663333333,1.3995922114285713,31.24275,71.3,1,1,1,1,1,0,2019,8,223,-0.8660254037844384,-0.5000000000000004
2019-01-07,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,15.265872444444446,0.058941692,1.34759066,34.41697,72.0,1,1,1,0,1,1,2019,1,7,0.4999999999999999,0.8660254037844387
2015-02-22,30.87,-81.31,1,Winter,Visual,RWSAS sightings,,12.722832916666665,0.2593060133333333,4.501623679999999,34.41697,451.1333333333333,1,1,1,0,1,1,2015,2,53,0.8660254037844386,0.5000000000000001
2018-11-16,42.436838,-70.546958,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_01_northatlanticrightwhale_1d,9.932666404761909,0.3373922821428571,1.23660578,34.41697,139.3913043478261,1,1,1,0,1,1,2018,11,320,-0.5000000000000004,0.8660254037844384
2019-08-19,31.36749,-80.895,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr03_02_northatlanticrightwhale_1d,27.7191956,0.5823566346666667,0.9133870961111112,32.881478,97.4,1,1,1,1,1,0,2019,8,231,-0.8660254037844384,-0.5000000000000004
2008-02-02,30.94,-81.15,1,Winter,Visual,RWSAS sightings,,12.762737857142858,0.2670334142857143,1.250074331578947,34.41697,50.095238095238095,1,1,1,0,1,1,2008,2,33,0.8660254037844386,0.5000000000000001
2008-02-16,31.23,-80.93,1,Winter,Visual,RWSAS sightings,,15.054652416666666,0.1737652808333333,2.425269602777778,34.41697,41.44444444444444,1,1,1,0,1,1,2008,2,47,0.8660254037844386,0.5000000000000001
2013-02-11,30.54,-81.25,1,Winter,Visual,RWSAS sightings,,16.13249993333333,0.0481998623333333,1.8569661633333332,34.11205075,241.06666666666663,1,1,1,1,1,0,2013,2,42,0.8660254037844386,0.5000000000000001
2011-04-30,41.71,-69.49,1,Spring,Visual,RWSAS sightings,,8.025121841463415,0.0,1.9756412485714283,34.41697,248.0,1,1,1,0,1,1,2011,4,120,0.8660254037844387,-0.4999999999999998
2011-04-19,41.95,-70.3,1,Spring,Visual,RWSAS sightings,,6.270999943333332,1.5855011939999997,3.18237576,34.0969464,96.43333333333334,1,1,1,1,1,0,2011,4,109,0.8660254037844387,-0.4999999999999998
2019-07-05,31.396417,-80.8904,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_02_northatlanticrightwhale_1d,29.51477292307692,0.5708562872340426,0.8584532130000001,34.41697,45.0,1,1,1,0,1,1,2019,7,186,-0.4999999999999998,-0.8660254037844388
2020-02-06,42.4369267,-70.5458567,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_08_northatlanticrightwhale_1d,5.846483,0.2041787966666667,0.4736592109999999,34.41697,290.25,1,1,1,0,1,1,2020,2,37,0.8660254037844386,0.5000000000000001
2019-10-05,42.2555167,-70.179065,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_05_northatlanticrightwhale_1d,15.941226555555554,0.0996142393333333,1.1944683091428572,32.0369064,167.6,1,1,1,1,1,0,2019,10,278,-0.8660254037844386,0.5000000000000001
2019-10-30,42.4369067,-70.5460133,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_06_northatlanticrightwhale_1d,13.450293722222222,0.1816647626666666,0.2199494,34.2790635,241.23333333333332,1,1,1,1,1,0,2019,10,303,-0.8660254037844386,0.5000000000000001
2019-02-17,24.43313,-81.93068,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,25.331648333333337,2.4079507091666668,0.6103903956666666,37.787957,297.0,1,1,1,1,1,0,2019,2,48,0.8660254037844386,0.5000000000000001
2020-02-12,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_04_northatlanticrightwhale_1d,16.1532838,0.1044018328,3.11303035,37.149094,46.2,1,1,1,1,1,0,2020,2,43,0.8660254037844386,0.5000000000000001
2008-03-03,30.52,-81.15,1,Spring,Visual,RWSAS sightings,,17.778027566666665,0.2703904523333333,1.1907349566666665,34.41697,71.3,1,1,1,0,1,1,2008,3,63,1.0,6.123233995736766e-17
2005-03-26,41.89,-70.3,1,Spring,Visual,RWSAS sightings,,2.5013332533333337,0.2065587759999999,1.6873371566666664,34.41697,385.5,1,1,1,0,1,1,2005,3,85,1.0,6.123233995736766e-17
