SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-02-09,24.45895,-81.774133,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,24.889224444444444,3.4857473999999997,0.3274093536666667,37.215714,306.43333333333334,1,1,1,1,1,0,2019,2,40,0.8660254037844386,0.5000000000000001
2019-11-11,31.396417,-80.8904,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_03_northatlanticrightwhale_1d,21.802805555555555,0.0,1.3337446714285712,35.83788066666667,45.0,1,1,1,1,1,0,2019,11,315,-0.5000000000000004,0.8660254037844384
2019-09-17,42.4708733,-70.2423833,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_05_northatlanticrightwhale_1d,17.24893188888889,0.22403921,0.2725282766666667,37.72061,241.22857142857143,1,1,1,1,1,0,2019,9,260,-1.0,-1.8369701987210294e-16
2019-04-11,31.396417,-80.8904,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,20.06485677777778,0.64640822,2.0539740866666665,34.41697,54.72,1,1,1,0,1,1,2019,4,101,0.8660254037844387,-0.4999999999999998
2019-11-15,42.47096,-70.242305,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_06_northatlanticrightwhale_1d,10.020056833333332,0.0,5.4792067228571435,30.963608,242.0,1,1,1,1,1,0,2019,11,319,-0.5000000000000004,0.8660254037844384
2019-10-26,42.25553,-70.1789733,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_06_northatlanticrightwhale_1d,12.976701555555556,0.254729176,11.59516727121212,34.41697,241.23333333333332,1,1,1,0,1,1,2019,10,299,-0.8660254037844386,0.5000000000000001
2018-12-28,24.45895,-81.774133,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,24.373796444444444,6.653665007142855,0.308542233,34.41697,228.58620689655172,1,1,1,0,1,1,2018,12,362,-2.4492935982947064e-16,1.0
2017-02-28,41.17,-70.3,1,Winter,Visual,RWSAS sightings,,2.3274999666666667,0.0,4.355007483333334,34.41697,51.0,1,1,1,0,1,1,2017,2,59,0.8660254037844386,0.5000000000000001
2019-08-23,42.436785,-70.546435,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_05_northatlanticrightwhale_1d,20.737938666666665,0.4833125833333333,2.658342244,34.41697,61.63333333333333,1,1,1,0,1,1,2019,8,235,-0.8660254037844384,-0.5000000000000004
2020-06-28,42.254985,-70.179125,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_10_northatlanticrightwhale_1d,18.90462244444445,0.1872851466666666,0.6622333271428572,31.695978,42.857142857142854,1,1,1,1,1,0,2020,6,180,1.2246467991473532e-16,-1.0
2019-01-14,24.4888,-81.666316,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,24.201666888888887,5.384756286666666,0.6054340629999999,34.41697,264.03333333333336,1,1,1,0,1,1,2019,1,14,0.4999999999999999,0.8660254037844387
2020-11-21,42.437805,-70.546112,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_12_northatlanticrightwhale_1d,9.645652,0.1317520813636363,9.120235778260868,34.41697,256.1666666666667,1,1,1,0,1,1,2020,11,326,-0.5000000000000004,0.8660254037844384
2015-04-25,42.05,-70.43,1,Spring,Visual,RWSAS sightings,,6.051428485714287,0.0,0.683423413,33.27281,248.0,1,1,1,1,1,0,2015,4,115,0.8660254037844387,-0.4999999999999998
2011-04-14,42.07,-70.26,1,Spring,Visual,RWSAS sightings,,6.214230553846154,0.0,0.77807139375,33.1107995,248.0,1,1,1,1,1,0,2011,4,104,0.8660254037844387,-0.4999999999999998
2018-11-24,42.470793,-70.24294,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,9.053670277777778,0.1545562428571428,1.173833368,34.41697,38.74285714285714,1,1,1,0,1,1,2018,11,328,-0.5000000000000004,0.8660254037844384
2006-02-14,29.32,-81.05,1,Winter,Visual,RWSAS sightings,,17.045,0.523464,2.393314757142857,34.41697,43.0,1,1,1,0,1,1,2006,2,45,0.8660254037844386,0.5000000000000001
2019-04-19,42.4371,-70.5467833,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_03_northatlanticrightwhale_1d,6.277035133333333,0.0,1.1342340233333332,34.41697,248.0,1,1,1,0,1,1,2019,4,109,0.8660254037844387,-0.4999999999999998
2019-04-06,42.4713583,-70.2427633,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_03_northatlanticrightwhale_1d,5.908983638461539,0.0,0.5609333723333333,34.41697,248.0,1,1,1,0,1,1,2019,4,96,0.8660254037844387,-0.4999999999999998
2019-02-05,24.45895,-81.774133,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,24.25278722222222,2.4934406344827584,0.47589061,36.22876219999999,224.53333333333333,1,1,1,1,1,0,2019,2,36,0.8660254037844386,0.5000000000000001
2011-02-26,29.89,-81.08,1,Winter,Visual,RWSAS sightings,,17.036250000000003,0.0660150188888888,0.6379462867857143,36.57781,41.09090909090909,1,1,1,1,1,0,2011,2,57,0.8660254037844386,0.5000000000000001
2020-03-18,31.396417,-80.8904,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_04_northatlanticrightwhale_1d,16.83577833333333,0.6655755199999999,1.127232716666667,34.8254014,58.8,1,1,1,1,1,0,2020,3,78,1.0,6.123233995736766e-17
2019-04-22,42.4371,-70.5467833,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_03_northatlanticrightwhale_1d,6.926445844444444,0.0,0.5552403253333333,34.41697,248.0,1,1,1,0,1,1,2019,4,112,0.8660254037844387,-0.4999999999999998
2004-10-06,42.98,-70.18,1,Fall,Visual,RWSAS sightings,,13.932999549999998,0.1940036236666666,3.221786173333333,34.41697,241.6,1,1,1,0,1,1,2004,10,280,-0.8660254037844386,0.5000000000000001
2020-06-01,42.470708,-70.242457,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_09_northatlanticrightwhale_1d,12.233923944444443,0.1382993546666666,0.4160990563333334,35.038435666666665,144.86666666666667,1,1,1,1,1,0,2020,6,153,1.2246467991473532e-16,-1.0
2009-03-05,42.68,-70.09,1,Spring,Visual,RWSAS sightings,,3.7294999142857144,0.0,0.783506776,34.41697,248.0,1,1,1,0,1,1,2009,3,64,1.0,6.123233995736766e-17
2021-01-15,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_05_northatlanticrightwhale_1d,13.654808944444447,0.0,0.955241997,34.41697,72.0,1,1,1,0,1,1,2021,1,15,0.4999999999999999,0.8660254037844387
2009-04-25,42.04,-70.18,1,Spring,Visual,RWSAS sightings,,8.872083291666668,0.1736597066666666,2.030881033333334,34.41697,38.0,1,1,1,0,1,1,2009,4,115,0.8660254037844387,-0.4999999999999998
2020-07-10,42.254985,-70.179125,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_10_northatlanticrightwhale_1d,18.64552811111111,0.2247679188888888,0.915859605,30.206305,47.714285714285715,1,1,1,1,1,0,2020,7,192,-0.4999999999999998,-0.8660254037844388
2020-11-13,31.396417,-80.8904,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_05_northatlanticrightwhale_1d,22.725772555555555,0.504327316,0.4745148666666667,34.41697,119.56,1,1,1,0,1,1,2020,11,318,-0.5000000000000004,0.8660254037844384
2020-07-13,42.254985,-70.179125,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_10_northatlanticrightwhale_1d,19.860924555555556,0.7453478,0.84149285,30.37308,63.0,1,1,1,1,1,0,2020,7,195,-0.4999999999999998,-0.8660254037844388
2020-02-25,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_04_northatlanticrightwhale_1d,14.28000211111111,0.1044018328,3.38591795,34.41697,46.2,1,1,1,0,1,1,2020,2,56,0.8660254037844386,0.5000000000000001
2019-04-12,31.396417,-80.8904,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,19.969631666666665,0.6500838999999999,1.85038186,34.41697,54.72,1,1,1,0,1,1,2019,4,102,0.8660254037844387,-0.4999999999999998
2019-05-03,42.4713583,-70.2427633,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_03_northatlanticrightwhale_1d,7.373168933333334,0.0,2.1879421100000003,34.41697,51.0,1,1,1,0,1,1,2019,5,123,0.4999999999999999,-0.8660254037844387
2005-03-26,41.99,-69.99,1,Spring,Visual,RWSAS sightings,,3.103333288888889,0.0,1.43762495,34.41697,248.0,1,1,1,0,1,1,2005,3,85,1.0,6.123233995736766e-17
2005-04-19,42.05,-70.04,1,Spring,Visual,RWSAS sightings,,7.5126388,0.2762243,1.5597062,34.41697,201.33333333333337,1,1,1,0,1,1,2005,4,109,0.8660254037844387,-0.4999999999999998
2020-02-13,31.396417,-80.8904,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_04_northatlanticrightwhale_1d,15.2886962,0.1044018328,3.11303035,32.97292,46.2,1,1,1,1,1,0,2020,2,44,0.8660254037844386,0.5000000000000001
2019-03-02,42.4708417,-70.24281,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_02_northatlanticrightwhale_1d,4.612823466666667,0.0,0.5363432906666666,35.03635,248.0,1,1,1,1,1,0,2019,3,61,1.0,6.123233995736766e-17
2019-10-04,42.436785,-70.546435,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_05_northatlanticrightwhale_1d,16.277674333333334,0.5371057776666667,0.2657291216666666,34.41697,238.03333333333333,1,1,1,0,1,1,2019,10,277,-0.8660254037844386,0.5000000000000001
2020-06-12,42.470708,-70.242457,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_09_northatlanticrightwhale_1d,15.064341111111112,0.195534139090909,0.7353748776923078,34.124737,40.61538461538461,1,1,1,1,1,0,2020,6,164,1.2246467991473532e-16,-1.0
