SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2019-12-21,42.4369383,-70.54587,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_07_northatlanticrightwhale_1d,7.257205533333334,0.0,0.544728329,38.178013,248.0,1,1,1,1,1,0,2019,12,355,-2.4492935982947064e-16,1.0
2020-03-29,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.9972483,0.0,0.8131714583333333,31.688154,248.0,1,1,1,1,1,0,2020,3,89,1.0,6.123233995736766e-17
2020-09-07,42.25512,-70.178928,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_11_northatlanticrightwhale_1d,19.121554777777774,0.0,0.6704430403333332,33.5527965,38.0,1,1,1,1,1,0,2020,9,251,-1.0,-1.8369701987210294e-16
2020-03-15,42.255235,-70.1796283,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_08_northatlanticrightwhale_1d,5.091201783333333,0.0,1.66877083,34.648551499999996,248.0,1,1,1,0,1,1,2020,3,75,1.0,6.123233995736766e-17
2020-04-06,42.470965,-70.2426433,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_08_northatlanticrightwhale_1d,6.436099644444444,0.04290865,0.9644843573333334,33.51400875,247.8125,1,1,1,1,1,0,2020,4,97,0.8660254037844387,-0.4999999999999998
2019-10-10,31.396417,-80.8904,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_03_northatlanticrightwhale_1d,26.69077888888889,0.1424291454545454,1.7823207125,36.544533333333334,44.833333333333336,1,1,1,1,1,0,2019,10,283,-0.8660254037844386,0.5000000000000001
2019-12-10,42.2553933,-70.1794483,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_07_northatlanticrightwhale_1d,8.31821361111111,0.3220061895,0.3469171159999999,30.61691,121.16666666666669,1,1,1,1,1,0,2019,12,344,-2.4492935982947064e-16,1.0
2019-04-04,24.4888,-81.666316,0,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,25.68033833333333,4.158015016666667,0.6822464356666667,34.648551499999996,263.6666666666667,1,1,1,0,1,1,2019,4,94,0.8660254037844387,-0.4999999999999998
2020-02-11,42.470965,-70.2426433,1,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_08_northatlanticrightwhale_1d,6.269989,0.3389318488571428,1.4347188071875,34.648551499999996,387.74285714285713,1,1,1,0,1,1,2020,2,42,0.8660254037844386,0.5000000000000001
2019-04-10,42.4713583,-70.2427633,1,Spring,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_03_northatlanticrightwhale_1d,4.791548033333333,0.0,0.1814766926315789,34.648551499999996,248.0,1,1,1,0,1,1,2019,4,100,0.8660254037844387,-0.4999999999999998
