SIGHTINGDATE,LAT,LON,SOURCE,Presence,Season,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_ID,Water_Mass_Name
2019-12-31,42.4369383,-70.54587,Acoustic,1,Winter,6.753867768595041,0.0245203996704806,2.0372659945945943,35.1947,2,Cold/Fresh
2020-01-26,42.4369383,-70.54587,Acoustic,1,Winter,5.59702479338843,0.06767569726275523,1.4849223540540541,35.471336,2,Cold/Fresh
2020-01-29,42.4369383,-70.54587,Acoustic,1,Winter,5.685630385487528,0.14406682477239421,1.5529313332270915,38.759583,2,Cold/Fresh
2019-08-01,42.2554283,-70.179015,Acoustic,1,Summer,22.243074380165286,0.033241540277189445,1.1556504474576268,32.330708,1,Warm/Salty
2020-01-31,42.255235,-70.1796283,Acoustic,1,Winter,6.385999999999999,0.08798295289429559,1.1065863270175438,33.44658,0,Temperate/Mixed
2020-02-01,42.255235,-70.1796283,Acoustic,1,Winter,6.250090909090908,0.056400354608815005,1.1065863270175438,33.581993,0,Temperate/Mixed
2020-02-02,42.255235,-70.1796283,Acoustic,1,Winter,6.261297520661158,0.08006247560499327,0.9245746229914531,34.66654,2,Cold/Fresh
2020-02-03,42.255235,-70.1796283,Acoustic,1,Winter,6.373148760330577,0.0884265231703686,0.9245746229914531,34.66654,2,Cold/Fresh
2020-02-04,42.255235,-70.1796283,Acoustic,1,Winter,6.4264710743801645,0.06694027188471734,0.9245746229914531,33.421707,0,Temperate/Mixed
2020-02-05,42.255235,-70.1796283,Acoustic,1,Winter,6.542925619834709,0.06514598989960971,0.9245746229914531,39.222164,2,Cold/Fresh
2020-02-06,42.255235,-70.1796283,Acoustic,1,Winter,6.353791383219955,0.04808326112068371,0.9245746229914531,39.222164,2,Cold/Fresh
2020-02-07,42.255235,-70.1796283,Acoustic,1,Winter,6.214413223140496,0.03810839802458353,0.9245746229914531,33.581993,0,Temperate/Mixed
2020-02-08,42.255235,-70.1796283,Acoustic,1,Winter,6.2686280991735535,0.04669047011971424,0.9245746229914531,33.581993,0,Temperate/Mixed
2020-02-09,42.255235,-70.1796283,Acoustic,1,Winter,6.212677685950413,0.05303772242470398,0.9245746229914531,33.581993,0,Temperate/Mixed
2020-02-10,42.255235,-70.1796283,Acoustic,1,Winter,6.048959927140255,0.0812157620169883,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-02-11,42.255235,-70.1796283,Acoustic,1,Winter,6.072959183673468,0.06101843983583848,1.4538571223548387,33.581993,0,Temperate/Mixed
2020-02-12,42.255235,-70.1796283,Acoustic,1,Winter,6.182048573163327,0.05080354318352207,1.2938664376068376,31.453432,0,Temperate/Mixed
2020-02-13,42.255235,-70.1796283,Acoustic,1,Winter,6.140454545454546,0.05235456045083416,1.2938664376068376,35.793438,2,Cold/Fresh
2020-02-14,42.255235,-70.1796283,Acoustic,1,Winter,6.136859504132232,0.061773780845924345,1.2938664376068376,35.793438,2,Cold/Fresh
2020-02-15,42.255235,-70.1796283,Acoustic,1,Winter,6.105247933884296,0.051662365412358247,1.2938664376068376,32.223072,0,Temperate/Mixed
2020-02-16,42.255235,-70.1796283,Acoustic,1,Winter,5.423495867768595,0.11014535850411512,1.2938664376068376,32.451124,0,Temperate/Mixed
2020-02-17,42.255235,-70.1796283,Acoustic,1,Winter,5.509347107438017,0.10822661410207869,1.2938664376068376,33.657053,0,Temperate/Mixed
2020-02-19,42.255235,-70.1796283,Acoustic,1,Winter,5.988809917355372,0.10290043731685491,1.8839704005128204,33.581993,0,Temperate/Mixed
2020-02-24,42.255235,-70.1796283,Acoustic,1,Winter,5.685966942148761,0.10851843161417332,1.8839704005128204,38.180775,2,Cold/Fresh
2020-02-27,42.255235,-70.1796283,Acoustic,1,Winter,5.415669421487602,0.08229216244576598,2.362177068474576,33.581993,0,Temperate/Mixed
2020-02-28,42.255235,-70.1796283,Acoustic,1,Winter,5.284074380165289,0.1064377752492035,2.362177068474576,32.9697105,0,Temperate/Mixed
2020-03-01,42.255235,-70.1796283,Acoustic,1,Spring,5.36237826350941,0.20721064161862057,2.362177068474576,33.581993,0,Temperate/Mixed
2020-03-02,42.255235,-70.1796283,Acoustic,1,Spring,5.40897520661157,0.11718361660232225,2.362177068474576,33.581993,0,Temperate/Mixed
2020-03-03,42.255235,-70.1796283,Acoustic,1,Spring,5.38065306122449,0.15205262246998563,2.362177068474576,31.384726,0,Temperate/Mixed
2020-03-04,42.255235,-70.1796283,Acoustic,1,Spring,5.587388429752066,0.06280127387243105,2.362177068474576,31.384726,0,Temperate/Mixed
2020-03-05,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-06,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-07,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-08,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-09,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-10,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-11,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-12,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-13,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-14,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-15,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-16,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-17,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-18,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-19,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-20,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-21,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-22,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-23,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-25,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-27,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-28,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-29,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-30,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-03-31,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-01,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-02,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-04,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-05,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-06,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-07,42.255235,-70.1796283,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-01-29,42.4708417,-70.24281,Acoustic,1,Winter,5.685630385487528,0.08798295289429559,1.4849223540540541,35.471336,2,Cold/Fresh
2019-01-30,42.4708417,-70.24281,Acoustic,1,Winter,5.685630385487528,0.08798295289429559,1.4849223540540541,35.471336,2,Cold/Fresh
2019-02-08,42.4708417,-70.24281,Acoustic,1,Winter,6.140454545454546,0.06514598989960971,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-03-11,42.4708417,-70.24281,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-03-12,42.4708417,-70.24281,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-03-30,42.4708417,-70.24281,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-03-31,42.4708417,-70.24281,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-08-19,42.4708733,-70.2423833,Acoustic,1,Summer,22.243074380165286,0.033241540277189445,1.1556504474576268,32.330708,1,Warm/Salty
2019-08-24,42.4708733,-70.2423833,Acoustic,1,Summer,22.243074380165286,0.033241540277189445,1.1556504474576268,32.330708,1,Warm/Salty
2019-08-31,42.4708733,-70.2423833,Acoustic,1,Summer,22.243074380165286,0.033241540277189445,1.1556504474576268,32.330708,1,Warm/Salty
2020-04-07,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-12,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-13,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-14,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-15,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-17,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-18,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-22,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2020-04-23,42.470708,-70.242457,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-04-06,42.2554067,-70.17901,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-04-07,42.2554067,-70.17901,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-04-08,42.2554067,-70.17901,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
2019-04-10,42.2554067,-70.17901,Acoustic,1,Spring,6.121053719008264,0.0735013737448553,1.2938664376068376,33.581993,0,Temperate/Mixed
