Year,Month,Lat,Lon,SST,Chlorophyll,Salinity,Bathymetry,SST_Gradient,Is_Thermal_Front,Bathy_Slope,Dist_to_Shore_km,Dist_to_Shelf_km
2002,1,45.0,-67.0,8.953,,,-26.0,0.033521558224706226,0,25.02562,1.3104447754222943,22.484677495692996
2002,1,45.0,-66.75,8.483999999999998,,32.377777099609375,-8.0,0.03226767283407447,0,2.6387413,4.346770701866099,13.038894906379205
2002,1,45.0,-66.5,8.033000000000001,,32.4114875793457,-46.0,0.027354705402459187,0,2.016133,7.862160189415206,20.427946770322762
2002,1,45.0,-66.25,7.821999999999999,,32.44519805908203,-97.0,0.0295658311324363,0,2.5548596,15.055332959260152,24.980621725712584
2002,1,45.0,-66.0,8.425999999999998,,32.5159330368042,-94.0,0.0561805509893708,1,2.0251052,22.686550585110655,39.75119541231187
2002,1,45.0,-65.75,8.242999999999999,,32.58666801452637,-78.0,0.056505499088376515,1,2.078204,24.57831054947546,57.54573379001635
2002,1,45.0,-65.5,7.574999999999999,,32.59162139892578,-72.0,0.008820142537038075,0,1.1502885,14.536540628261704,76.27631909682421
2002,1,45.0,-65.25,7.872,,,-42.0,0.09607952377512162,1,10.520137,4.346770701866099,94.8212830274284
2002,1,45.0,-61.75,7.599999999999998,,30.30065631866455,-34.0,0.021279933241662944,0,2.1638079,9.626960309932155,27.115328788160202
2002,1,45.0,-61.5,7.469999999999999,,30.271276473999023,-82.0,0.01167804527488313,0,5.7791443,13.989720569940799,10.729873479539059
2002,1,45.0,-61.25,7.399999999999999,,30.241896629333496,-153.0,0.017550194584844716,0,5.6253457,21.957835882466902,0.0
2002,1,45.0,-61.0,7.177,,30.400744438171387,-195.0,0.015095036029419095,0,1.9339643,25.338177107838224,0.0
2002,1,45.0,-60.75,7.024999999999999,,30.559592247009277,-188.0,0.009032434724988655,0,10.079774,35.0327349656036,0.0
2002,1,45.0,-60.5,6.959,,30.699888229370117,-122.0,0.006602757345975273,0,12.485525,48.132357367164545,2.269866961796958
2002,1,45.0,-60.25,7.34,,30.840184211730957,-159.0,0.05880942240377681,1,23.042477,64.23501188448792,0.0
2002,1,45.0,-60.0,6.599999999999998,,31.027050971984863,-163.0,0.03648346152426145,1,11.476221,81.62631419413393,0.0
2002,1,45.0,-59.75,6.216999999999999,,31.21391773223877,-143.0,0.013455070664169325,0,6.84537,88.42349411413883,2.269646879950196
2002,1,45.0,-59.5,6.058,,31.291785717010498,-103.0,0.004783866481146161,0,11.49844,99.02216102841838,3.2102322239140624
2002,1,45.0,-59.25,6.036000000000001,,31.369653701782227,-92.0,0.003655405228267426,0,5.7545547,111.60141247653213,5.559027292355008
2002,1,45.0,-59.0,5.946999999999999,,31.38053321838379,-116.0,0.006041272434774519,0,11.31374,123.64675851998562,3.7064975548181582
2002,1,45.0,-58.75,5.899000000000001,,31.39141273498535,-122.0,0.005119858337035106,0,11.317095,133.64463141267544,7.4129951096370235
2002,1,45.0,-58.5,5.7989999999999995,,31.406787395477295,-135.0,0.011325187158923307,0,14.996236,146.39747750132437,1.8532487774108475
2002,1,45.0,-58.25,5.550999999999998,,31.42216205596924,-118.0,0.01149057267436101,0,6.805528,159.46472920346926,7.5295902941528885
2002,1,45.0,-58.0,5.413999999999998,,31.47773027420044,-108.0,0.0048881573438568525,0,6.711456,173.96056484285378,8.389868622763688
2002,1,45.0,-57.75,5.338000000000001,,31.53329849243164,-52.0,0.0026987165560128463,0,1.5685071,189.35307240029243,14.825990219274047
2002,1,45.0,-57.5,5.32,,31.740827083587646,-134.0,0.0027772732334159765,0,50.51316,205.44067123796822,1.310444775421294
2002,1,45.0,-57.25,5.2940000000000005,,31.948355674743652,-441.0,0.0030164113986158444,0,1.4059885,210.17127150300558,13.936023436223254
2002,1,45.0,-57.0,5.256,,32.165271282196045,-432.0,0.0013425049855046536,0,1.5685071,204.57700685350946,30.923259953120194
2002,1,45.0,-56.75,5.239000000000001,,32.38218688964844,-378.0,0.001121402191962125,0,6.4914227,200.47261370828417,42.91594074159125
2002,1,45.0,-56.5,5.216999999999999,,32.42482566833496,-393.0,0.0030108115749958634,0,4.7055216,197.52548088885834,24.112866481677074
2002,1,45.0,-56.25,5.148,,32.467464447021484,-308.0,0.007849815343745847,0,11.398144,196.44860507214995,6.418596629209916
2002,1,45.0,-56.0,5.0809999999999995,,32.45573139190674,-107.0,0.009644837287665223,0,4.556512,196.8673860409722,4.3457362958856764
2002,1,45.25,-65.5,7.631999999999998,,,-53.0,0.017818625816147262,0,2.1929986,9.06404929361723,87.75340003263544
2002,1,45.25,-65.25,7.539999999999999,,32.50342559814453,-41.0,0.007635644987423401,0,3.7244425,19.57070858042103,104.72863440515977
2002,1,45.25,-64.75,7.904,,32.897029876708984,-21.0,0.026629407000046502,0,3.2324967,5.710653205873694,140.77720460482524
2002,1,45.25,-64.5,8.21,,32.59768295288086,-1.0,0.024872867991720265,0,9.432267,1.8532487774108475,135.40687313545348
2002,1,45.25,-64.25,8.469000000000001,,32.298336029052734,-2.0,0.013541380551356919,0,0.0,6.780783998936692,129.64984311072197
2002,1,45.25,-61.0,6.905000000000001,,30.16973304748535,-5.0,0.013442933349795955,0,5.623954,1.8532487774073108,16.010647255307397
2002,1,45.25,-60.75,6.7429999999999986,,30.358076095581055,-128.0,0.010435852468602838,0,10.541123,16.607922323853106,3.9141432194865664
2002,1,45.25,-60.5,6.765999999999998,,30.48952579498291,-126.0,0.010863010029474245,0,12.4905815,35.64795561738508,7.501342099947401
2002,1,45.25,-60.25,6.675999999999998,,30.620975494384766,-99.0,0.012922619185217643,0,3.9604368,46.33914316844785,6.399891473192698
2002,1,45.25,-60.0,6.442999999999998,,30.89977264404297,-145.0,0.012445466728870947,0,8.93584,54.446535560016855,1.3047144250557003
2002,1,45.25,-59.75,6.279,,31.178569793701172,-84.0,0.006772366932599635,0,0.26949334,64.90067469684311,10.77787556132221
2002,1,45.25,-59.5,6.210000000000001,,31.367608070373535,-97.0,0.004134558609039136,0,0.67204434,76.97348711636921,22.579614167292483
2002,1,45.25,-59.25,6.166,,31.5566463470459,-94.0,0.006846433931519337,0,0.9669821,88.82200866357098,26.46726840296164
2002,1,45.25,-59.0,6.027000000000001,,31.574963569641113,-93.0,0.00825296060624965,0,2.9455953,99.65942547841237,31.032928521611378
2002,1,45.25,-58.75,5.8679999999999986,,31.593280792236328,-82.0,0.008737834134799644,0,4.192306,112.27369458645734,23.78234104856322
2002,1,45.25,-58.5,5.716000000000001,,31.58379077911377,-100.0,0.00901063389390327,0,9.026501,126.11858821179197,5.391440510372607
2002,1,45.25,-58.25,5.533000000000001,,31.57430076599121,-119.0,0.010777542376533573,0,4.9981265,141.28762644666824,4.532465785933681
2002,1,45.25,-58.0,5.361000000000001,,31.651305198669434,-65.0,0.0072333019850348785,0,8.93584,157.28068832372674,9.266243887047164
2002,1,45.25,-57.75,5.280999999999999,,31.728309631347656,-76.0,0.0038042010000072855,0,12.059482,173.93363587526804,3.9141432194865664
2002,1,45.25,-57.5,5.244,,31.942684173583984,-417.0,0.0015054057874984634,0,5.6366196,191.1125856628373,10.695600924334375
2002,1,45.25,-57.25,5.241,,32.15705871582031,-440.0,0.0017966223499810382,0,1.1502885,184.11538894509937,28.399603619042406
2002,1,45.25,-57.0,5.228999999999999,,32.305477142333984,-426.0,0.0024229910972281285,0,0.9669821,177.73156193010166,45.351276304319086
2002,1,45.25,-56.75,5.199999999999999,,32.453895568847656,-404.0,0.002063240151562499,0,4.49106,173.30081265143917,29.117063184587224
2002,1,45.25,-56.5,5.163,,32.48101043701172,-380.0,0.0033861834663019693,0,3.387446,169.8981937301878,11.758666881498334
2002,1,45.25,-56.25,5.044999999999998,,32.50812530517578,-167.0,0.005370019942023384,0,22.167248,168.65054963996133,0.0
2002,1,45.25,-56.0,5.0219999999999985,,32.461204528808594,-76.0,0.00448560876785406,0,3.387446,169.13602232593058,15.397006522299812
2002,1,45.5,-65.0,8.029,,32.69926452636719,-21.0,0.023794771454849057,0,4.9545527,4.5258488723006725,135.6584367398126
2002,1,45.5,-60.75,6.492000000000001,,30.24884033203125,-101.0,0.013000383028226438,0,25.274199,9.356712691813115,5.1958367994456935
2002,1,45.5,-60.5,6.376000000000001,,30.333080291748047,-167.0,0.019005383512885866,0,5.1097193,14.82599021927334,0.0
2002,1,45.5,-60.25,6.248000000000001,,30.417320251464844,-157.0,0.02284279543344175,0,3.8679285,20.636995462446468,0.0
2002,1,45.5,-60.0,6.1469999999999985,,30.598106384277344,-160.0,0.014322616750257935,0,4.690038,30.96149408957473,0.0
2002,1,45.5,-59.75,6.152000000000001,,30.778892517089844,-143.0,0.007252650925322657,0,4.2179656,43.045470525957505,1.8532487774073108
2002,1,45.5,-59.5,6.187999999999999,,31.05042028427124,-143.0,0.0032149457625557606,0,2.1929986,55.19126393767465,2.263034825374216
2002,1,45.5,-59.25,6.129999999999999,,31.321948051452637,-81.0,0.004611333350498719,0,3.2324967,65.77618883193546,7.525808461747767
2002,1,45.5,-59.0,6.030999999999999,,31.46057891845703,-123.0,0.007438221021140565,0,5.2806993,78.63257499549398,5.559746332229006
2002,1,45.5,-58.75,5.858999999999998,,31.599209785461426,-82.0,0.010740039884044383,0,10.492407,93.36231020901002,8.00994161282928
2002,1,45.5,-58.5,5.643999999999998,,31.6692156791687,-86.0,0.010889274933590445,0,4.014187,109.39313425704583,6.381133012710627
