Date,Lat,Lon,Presence,SST,Chlorophyll,Salinity,Bathymetry,SST_Gradient,Is_Thermal_Front,Month
2002-02-06,41.93,-70.52,1,12.146,3.857690572738647,32.46976576385498,-21.0,0.0530393780210503,True,2
2002-02-06,43.19802,-69.33916,0,10.889,0.9173478484153748,33.21524183549403,-191.0,0.0104518450253964,False,2
2002-02-06,40.33925,-72.16347,0,15.573,1.167612075805664,33.36312597363407,-64.0,0.044980099417582,True,2
2002-02-06,42.25602,-67.03558,0,10.114,0.7273274660110474,33.183447809490154,-238.0,0.0115427558189958,False,2
2002-02-06,40.64759,-68.32839,0,12.013,0.7302745580673218,32.790259128864506,-74.0,0.2294521196087883,True,2
2002-02-07,41.88,-70.28,1,11.933,2.110162258148194,32.49136214675903,-29.0,0.0195127172422457,False,2
2002-02-07,42.24,-70.2,1,11.786,2.0192699432373047,32.26048050689697,-37.0,0.0155787192003339,False,2
2002-02-07,42.2,-70.2,1,11.804,2.010755777359009,32.28670124053955,-36.0,0.0135693428284732,False,2
2002-02-07,42.15,-70.33,1,12.034,2.334578037261963,32.194741546630866,-37.0,0.0249121305264139,False,2
2002-02-07,40.60682,-68.38024,0,12.957,0.6627918481826782,32.889195211748195,-79.0,0.1176331358463997,True,2
2002-02-07,41.86185,-68.04344,0,11.166,0.9712875485420228,33.047248824125,-97.0,0.0215930392535484,False,2
2002-02-07,40.42558,-67.58953,0,13.889,0.282279223203659,34.28915085647846,-152.0,0.247593610291612,True,2
2002-02-07,42.08889,-67.27368,0,10.436,1.2546545267105105,33.153266199580855,-47.0,0.027405099323748,False,2
2002-02-07,42.45872,-68.41379,0,10.999,0.7397335171699524,33.14336817795172,-214.0,0.021741835957898,False,2
2002-02-07,41.29693,-67.36977,0,11.423,0.9575536847114564,32.634086845425706,-45.0,0.041260769012537,True,2
2002-02-07,41.48842,-70.20327,0,11.852,3.6835203170776367,32.727591967124376,-13.0,0.0402864605397382,True,2
2002-02-07,43.02916,-70.40658,0,11.294,1.3654406070709229,31.687619700393412,-103.0,0.0452575528769631,True,2
2002-02-07,40.42193,-69.33582,0,13.106,0.7343944907188416,32.764084658804435,-75.0,0.1067518613159207,True,2
2002-02-07,41.80064,-67.05514,0,10.474,1.3000108003616333,33.15231430388367,-60.0,0.0186559428668537,False,2
2002-02-07,40.81446,-67.54868,0,12.509,0.7562059164047241,32.66379264138241,-78.0,0.1232118596703547,True,2
2002-02-07,41.16174,-71.8166,0,13.957,3.74412202835083,32.95434282642114,-35.0,0.0172368306750141,False,2
2002-02-07,42.26939,-68.2973,0,10.963,0.5863714218139648,33.189395757419355,-203.0,0.0067641581654395,False,2
2002-02-07,41.85806,-68.52385,0,11.021,0.6340290307998657,33.0275883721964,-181.0,0.0230330712228479,False,2
2002-02-07,42.13133,-67.37883,0,10.298,1.0485173463821411,33.14646135885839,-134.0,0.0383054186403005,True,2
2002-02-07,41.11806,-71.7135,0,13.997,3.524120569229126,32.950618441343835,-21.0,0.0313543867122292,False,2
2002-02-14,41.84,-70.24,1,11.858,2.742711305618286,32.513717317199706,-19.0,0.0198765673517701,False,2
2002-02-14,43.37895,-69.01177,0,10.518,1.0498037338256836,33.13913656740844,-148.0,0.0191560920087342,False,2
2002-02-14,39.35385,-69.0416,0,16.938000000000002,0.1770089864730835,35.7762191826117,-2773.0,0.0233802082374627,False,2
2002-02-14,39.77933,-68.51838,0,15.791,0.1972500383853912,35.67088865666131,-2512.0,0.0672487562654533,True,2
2002-02-14,40.57701,-72.20874,0,15.279,1.5832858085632324,33.21679472954131,-51.0,0.057051707669548,True,2
2002-02-17,41.93,-70.13,1,11.717,3.31185245513916,32.493175573730475,-18.0,0.0169444044000823,False,2
2002-02-17,42.00097,-68.04137,0,10.964,0.8212543725967407,33.09704572055218,-199.0,0.0195731968001383,False,2
2002-02-17,41.72389,-68.22322,0,11.142,1.700080633163452,32.97515904242819,-26.0,0.0122038057898333,False,2
2002-02-17,40.50958,-68.73686,0,13.04,0.6734759211540222,32.82675480347571,-70.0,0.0400963646397853,True,2
2002-02-17,40.6675,-73.26076,0,15.842,53.192726135253906,33.211309694841,-1.0,0.0187426939257524,False,2
2002-02-22,41.93,-70.26,1,11.92,2.0372045040130615,32.44363591461182,-34.0,0.0202080244176634,False,2
2002-02-22,42.03943,-68.60347,0,11.066,0.5844228267669678,33.069651451757096,-172.0,0.019140097330504,False,2
2002-02-22,40.5207,-69.23219,0,12.108,0.7351113557815552,32.71449574569698,-70.0,0.0647633562901558,True,2
2002-02-22,40.49606,-73.19846,0,15.794,3.5296008586883545,33.2242507372585,-28.0,0.0210514071264522,False,2
2002-02-22,42.56081,-69.21357,0,10.812,0.7135204076766968,33.12792259891488,-218.0,0.0327100109242015,False,2
2002-02-23,41.93,-70.14,1,11.731,3.31185245513916,32.488963519287104,-18.0,0.0175961036202104,False,2
2002-02-23,40.29095,-69.21605,0,13.77,0.548642098903656,32.81322070642818,-88.0,0.0950242764428299,True,2
2002-02-23,40.99702,-69.33486,0,10.082,1.519465088844299,32.70092168820415,-45.0,0.0243856609211438,False,2
2002-02-23,42.11991,-66.80859,0,10.284,1.21116840839386,33.20176202008693,-80.0,0.0218978479775151,False,2
2002-02-23,41.44429,-66.78902,0,10.621,1.284203052520752,32.70731476735906,-45.0,0.0407795157645184,True,2
2002-02-25,41.79,-70.2,1,11.777,8.8124418258667,32.55546376037597,-12.0,0.0229168695976692,False,2
2002-02-25,42.57912,-69.33983,0,11.004,0.737265944480896,33.10860820126936,-226.0,0.0366807644059365,True,2
2002-02-25,41.18006,-72.97777,0,15.209,12.879393577575684,,-11.0,0.0251807512878284,False,2
2002-02-25,40.52039,-72.37632,0,15.45,2.0452840328216553,33.241753620861715,-48.0,0.0242087514051102,False,2
2002-02-25,41.70412,-69.27435,0,10.884,0.7969355583190918,32.69094637259894,-194.0,0.0036430227572882,False,2
2002-02-26,41.89,-70.31,1,11.984,2.210072755813598,32.49120964660645,-29.0,0.0191301776289239,False,2
2002-02-26,43.68013,-69.53972,0,10.154,3.052999496459961,33.087470381888174,-101.0,0.0914196663736649,True,2
2002-02-26,40.86403,-69.89758,0,11.579,2.1002073287963867,32.63876649098266,-13.0,0.016310285973276,False,2
2002-02-26,40.05487,-72.86703,0,15.822,3.672622203826904,33.59531587214512,-53.0,0.027003095043155,False,2
2002-02-26,40.1787,-69.80646,0,14.458,0.5301322340965271,33.430309608361576,-93.0,0.0198508929038019,False,2
2002-03-01,41.87,-70.14,1,11.704,6.199001312255859,32.42765238342285,-6.0,0.0201811435433705,False,3
2002-03-01,42.12,-70.51,1,12.321,2.1500091552734375,31.66400540466308,-34.0,0.0095355756616583,False,3
2002-03-01,40.84182,-70.37636,0,12.851,1.1429444551467896,32.297049102043836,-49.0,0.0568595703320126,True,3
2002-03-01,43.67497,-67.95805,0,9.408,0.964990496635437,32.63562464710124,-206.0,0.019071151323315,False,3
2002-03-01,41.34099,-70.08611,0,11.647,4.448661804199219,32.605152991816716,-13.0,0.0341471913344678,False,3
2002-03-01,40.84786,-72.2115,0,15.273,2.814328908920288,32.741679614409335,-33.0,0.0059127385841558,False,3
2002-03-01,42.45077,-68.13176,0,10.406,0.6564753651618958,32.926890574570244,-167.0,0.0323047115024644,False,3
2002-03-01,43.85046,-67.84239,0,9.132,0.9644989967346193,32.58602050874008,-188.0,0.1095747453454107,True,3
2002-03-01,42.86085,-69.89534,0,11.269,1.1491243839263916,32.26352286515315,-236.0,0.0066852781382159,False,3
2002-03-01,43.06905,-68.11975,0,10.346,0.9088518619537354,32.7218342778265,-171.0,0.022769259130065,False,3
2002-03-02,41.84,-70.35,1,12.026,2.850982904434204,32.41869169616699,-25.0,0.0166490543507459,False,3
2002-03-02,41.88,-70.17,1,11.756,2.691288709640503,32.41294723815918,-17.0,0.018844706870938,False,3
2002-03-02,41.89,-70.13,1,11.7,5.079849720001221,32.41801511230469,-10.0,0.0184848109445587,False,3
2002-03-02,40.12839,-68.44274,0,13.587,0.289192795753479,33.003679141089975,-745.0,0.0320758436555399,False,3
2002-03-02,40.83815,-71.08905,0,14.418,1.1658406257629397,32.4847186676714,-57.0,0.0102522785969745,False,3
2002-03-02,40.46987,-68.73038,0,13.157,0.6466906666755676,32.26863146483565,-77.0,0.0397307772905327,True,3
2002-03-02,40.54111,-72.1735,0,15.39,1.456167697906494,32.96428586593383,-55.0,0.0268126487281931,False,3
2002-03-02,40.17008,-70.77219,0,15.257,0.5980722904205322,34.127695599043086,-129.0,0.0587320585882416,True,3
2002-03-02,41.93691,-68.57714,0,11.001,0.5603920817375183,32.96357678279429,-168.0,0.0103404488831947,False,3
2002-03-02,41.24627,-69.90762,0,11.353,3.980786085128784,32.69394378445582,-11.0,0.0211439505210021,False,3
2002-03-02,40.76408,-70.42209,0,13.158,1.0371001958847046,32.256750021134835,-50.0,0.0567992444774261,True,3
2002-03-02,40.11432,-69.27916,0,14.597,0.5653114318847656,33.08294378968048,-100.0,0.0449092138153779,True,3
2002-03-02,39.75701,-69.44319,0,16.042,0.3922552168369293,34.896988602206385,-2054.0,0.0812209859368223,True,3
2002-03-02,41.58169,-69.67085,0,10.867,1.475961446762085,32.62347684881887,-38.0,0.0193488825065396,False,3
2002-03-02,41.25719,-71.62838,0,13.688,3.630626916885376,,-39.0,0.0101567347025984,False,3
2002-03-05,41.98,-70.12,1,11.714,6.010709285736084,32.36616079254151,-16.0,0.0175042754833334,False,3
2002-03-05,39.68735,-68.46393,0,16.424,0.1672477275133133,34.84988628834268,-2718.0,0.0388027391242412,True,3
2002-03-05,42.3246,-69.1792,0,11.036,0.7598167061805725,32.77790722825439,-231.0,0.0230330712408966,False,3
2002-03-05,43.7659,-69.01285,0,9.345,4.5835700035095215,32.78318848805595,-72.0,0.0731857247372023,True,3
2002-03-05,42.59852,-66.72796,0,9.347,0.6578817963600159,32.80814967611284,-197.0,0.0256992499520362,False,3
2002-03-07,41.91,-70.2,1,11.816,2.691288709640503,32.38402021789551,-29.0,0.0195527903501596,False,3
2002-03-07,40.76873,-68.4303,0,10.975,0.9488481879234314,32.22706401555559,-49.0,0.0108506428731561,False,3
2002-03-07,40.01569,-71.53359,0,14.886,0.832932710647583,34.28145312097116,-97.0,0.0305485333126791,False,3
2002-03-07,40.98869,-68.16623,0,11.396,0.9787295460700988,32.35579951985436,-42.0,0.0543941243195477,True,3
2002-03-07,43.70432,-68.76301,0,9.217,1.273530125617981,32.85351948868568,-118.0,0.0806117929410969,True,3
2002-03-15,41.84,-70.21,1,11.808,2.742711305618286,32.429398831176755,-16.0,0.0207239049034834,False,3
2002-03-15,41.79,-70.17,1,11.719,8.8124418258667,32.471905999755855,-11.0,0.0237784672429985,False,3
2002-03-15,43.37738,-69.71261,0,10.818,1.0199633836746216,32.767501402063054,-150.0,0.0070539721525404,False,3
2002-03-15,40.92537,-67.41586,0,11.658,0.8365420699119568,32.42931302957927,-76.0,0.0610507545040859,True,3
2002-03-15,43.0036,-69.94553,0,11.235,1.0865087509155271,32.04792640627715,-215.0,0.0052628690606686,False,3
2002-03-15,41.70707,-69.72439,0,11.195,1.3829790353775024,32.581154370964796,-80.0,0.028935337267688,False,3
2002-03-15,42.18842,-67.51871,0,10.33,0.9072270393371582,32.87266345818606,-203.0,0.0183297235701799,False,3
2002-03-15,40.61754,-67.33826,0,12.915,0.4914335906505584,32.91542810499833,-99.0,0.1392403283716096,True,3
2002-03-15,41.64427,-66.91416,0,10.429,1.2869541645050049,33.01649169661365,-61.0,0.0243257341675613,False,3
2002-03-15,41.8948,-67.51476,0,10.955,1.4660242795944214,32.95372037560352,-42.0,0.0549977735534797,True,3
2002-03-21,38.62,-75.02,1,18.943,10.500901222229004,31.304948804473906,-13.0,0.0873231227972525,True,3
2002-03-21,40.90248,-73.69096,0,15.486,67.66801452636719,,-12.0,0.0189883858131699,False,3
2002-03-21,38.67673,-72.9164,0,18.308,0.1677815169095993,34.444014752753425,-1534.0,0.0261995535164242,False,3
2002-03-21,37.35167,-73.22997,0,23.815,0.1269382387399673,36.20395313978437,-2804.0,0.0231160809605134,False,3
2002-03-21,37.2798,-72.06407,0,25.986,0.0813041999936103,36.031060100090606,-3269.0,0.0140281719915452,False,3
2002-03-25,42.05,-70.04,1,11.629,2.929044246673584,32.35875402832031,-24.0,0.0150539986585838,False,3
2002-03-25,40.45546,-71.43956,0,15.177,1.3693723678588867,33.240643447618645,-71.0,0.0405007694415089,True,3
2002-03-25,41.38228,-69.27845,0,10.488,1.1632022857666016,32.62234918037039,-112.0,0.0442875461030688,True,3
2002-03-25,39.84557,-68.49351,0,15.232,0.2183448374271392,34.26707349159366,-2394.0,0.0804186419408937,True,3
2002-03-25,40.43352,-70.88041,0,15.046,0.8737816214561462,33.31839320588549,-83.0,0.0239773711574327,False,3
2002-03-28,40.18,-73.7,1,16.177999999999997,3.274432897567749,32.83586682128906,-45.0,0.0334038716426018,False,3
2002-03-28,42.47,-70.27,1,11.664,1.4485737085342407,31.921551098632825,-88.0,0.019491084701124,False,3
2002-03-28,39.64839,-71.09113,0,15.783,0.3179202377796173,35.28955917699015,-2165.0,0.0659146347638953,True,3
2002-03-28,39.94213,-70.5347,0,15.819,0.4581226408481598,34.76115210725217,-513.0,0.0418216307864816,True,3
2002-03-28,39.63156,-71.66048,0,15.985,0.1952467858791351,35.069591720461126,-1102.0,0.0545427047037283,True,3
2002-03-28,40.74247,-72.68682,0,15.247,4.302669048309326,32.91669083402096,-23.0,0.0241676224468064,False,3
2002-03-28,41.26471,-72.19678,0,13.566,18.990005493164062,,-29.0,0.0176783526342688,False,3
2002-03-28,42.28257,-66.91314,0,10.079,0.6899425387382507,32.93513290067129,-283.0,0.016855211447051,False,3
2002-03-28,40.03081,-71.77141,0,15.024,1.0392662286758425,34.058486393601655,-91.0,0.0812710433288802,True,3
2002-03-28,40.96347,-69.75879,0,11.369,2.142848014831543,32.586079773051026,-34.0,0.0265739628065549,False,3
2002-03-29,42.38,-70.45,1,11.954,1.747125267982483,31.569531814575193,-79.0,0.0168773835008507,False,3
