SIGHTINGDATE,Presence,LAT,LON,SOURCE
2019-03-15,1,42.25539,-70.178843,Acoustic
2019-03-16,1,42.25539,-70.178843,Acoustic
2019-03-17,1,42.25539,-70.178843,Acoustic
2019-03-20,1,42.25539,-70.178843,Acoustic
2019-03-24,1,42.25539,-70.178843,Acoustic
2019-03-25,1,42.25539,-70.178843,Acoustic
2019-03-27,1,42.25539,-70.178843,Acoustic
2019-03-30,1,42.25539,-70.178843,Acoustic
2019-03-31,1,42.25539,-70.178843,Acoustic
2019-04-02,1,42.25539,-70.178843,Acoustic
2020-02-10,1,42.470965,-70.2426433,Acoustic
2020-02-11,1,42.470965,-70.2426433,Acoustic
2020-02-13,1,42.470965,-70.2426433,Acoustic
2020-02-19,1,42.470965,-70.2426433,Acoustic
2020-02-28,1,42.470965,-70.2426433,Acoustic
2020-03-05,1,42.470965,-70.2426433,Acoustic
2020-03-14,1,42.470965,-70.2426433,Acoustic
2020-03-17,1,42.470965,-70.2426433,Acoustic
2020-03-22,1,42.470965,-70.2426433,Acoustic
2020-03-23,1,42.470965,-70.2426433,Acoustic
2020-03-24,1,42.470965,-70.2426433,Acoustic
2020-03-25,1,42.470965,-70.2426433,Acoustic
2020-03-26,1,42.470965,-70.2426433,Acoustic
2020-03-27,1,42.470965,-70.2426433,Acoustic
2020-03-29,1,42.470965,-70.2426433,Acoustic
2020-03-30,1,42.470965,-70.2426433,Acoustic
2020-04-02,1,42.470965,-70.2426433,Acoustic
2020-04-05,1,42.470965,-70.2426433,Acoustic
2020-04-06,1,42.470965,-70.2426433,Acoustic
2020-04-07,1,42.470965,-70.2426433,Acoustic
2020-07-05,1,42.437455,-70.545987,Acoustic
2019-04-08,1,42.4713583,-70.2427633,Acoustic
2019-04-10,1,42.4713583,-70.2427633,Acoustic
2019-04-12,1,42.4713583,-70.2427633,Acoustic
2019-04-13,1,42.4713583,-70.2427633,Acoustic
2019-04-15,1,42.4713583,-70.2427633,Acoustic
2019-04-19,1,42.4713583,-70.2427633,Acoustic
2019-04-22,1,42.4713583,-70.2427633,Acoustic
2019-04-23,1,42.4713583,-70.2427633,Acoustic
2019-04-24,1,42.4713583,-70.2427633,Acoustic
2019-04-30,1,42.4713583,-70.2427633,Acoustic
2019-05-09,1,42.4713583,-70.2427633,Acoustic
2019-08-19,1,42.2555167,-70.179065,Acoustic
2020-04-08,1,42.254995,-70.17908,Acoustic
2020-04-09,1,42.254995,-70.17908,Acoustic
2020-04-10,1,42.254995,-70.17908,Acoustic
2020-04-12,1,42.254995,-70.17908,Acoustic
2020-04-13,1,42.254995,-70.17908,Acoustic
2020-04-15,1,42.254995,-70.17908,Acoustic
2020-04-16,1,42.254995,-70.17908,Acoustic
2020-04-17,1,42.254995,-70.17908,Acoustic
2020-04-19,1,42.254995,-70.17908,Acoustic
2020-04-20,1,42.254995,-70.17908,Acoustic
2020-04-21,1,42.254995,-70.17908,Acoustic
2020-04-26,1,42.254995,-70.17908,Acoustic
2020-04-30,1,42.254995,-70.17908,Acoustic
2018-12-16,1,31.396417,-80.8904,Acoustic
2018-12-27,1,31.396417,-80.8904,Acoustic
2019-01-14,1,31.396417,-80.8904,Acoustic
2020-02-07,1,42.4369267,-70.5458567,Acoustic
2020-02-11,1,42.4369267,-70.5458567,Acoustic
2020-02-12,1,42.4369267,-70.5458567,Acoustic
2020-02-15,1,42.4369267,-70.5458567,Acoustic
2020-02-16,1,42.4369267,-70.5458567,Acoustic
2020-03-11,1,42.4369267,-70.5458567,Acoustic
2020-03-12,1,42.4369267,-70.5458567,Acoustic
2020-03-13,1,42.4369267,-70.5458567,Acoustic
2020-03-17,1,42.4369267,-70.5458567,Acoustic
2020-03-18,1,42.4369267,-70.5458567,Acoustic
2020-03-19,1,42.4369267,-70.5458567,Acoustic
2020-03-21,1,42.4369267,-70.5458567,Acoustic
2020-03-22,1,42.4369267,-70.5458567,Acoustic
2020-03-23,1,42.4369267,-70.5458567,Acoustic
2020-03-24,1,42.4369267,-70.5458567,Acoustic
2020-03-25,1,42.4369267,-70.5458567,Acoustic
2020-03-26,1,42.4369267,-70.5458567,Acoustic
2020-03-27,1,42.4369267,-70.5458567,Acoustic
2020-03-28,1,42.4369267,-70.5458567,Acoustic
2020-03-29,1,42.4369267,-70.5458567,Acoustic
2020-03-30,1,42.4369267,-70.5458567,Acoustic
2020-03-31,1,42.4369267,-70.5458567,Acoustic
2020-04-01,1,42.4369267,-70.5458567,Acoustic
2020-04-02,1,42.4369267,-70.5458567,Acoustic
2020-04-03,1,42.4369267,-70.5458567,Acoustic
2020-04-04,1,42.4369267,-70.5458567,Acoustic
2020-04-06,1,42.4369267,-70.5458567,Acoustic
2019-11-25,1,31.396417,-80.8904,Acoustic
2019-12-24,1,31.396417,-80.8904,Acoustic
2018-11-15,1,42.470793,-70.24294,Acoustic
2018-11-17,1,42.470793,-70.24294,Acoustic
2018-12-07,1,42.470793,-70.24294,Acoustic
2019-12-10,1,42.2553933,-70.1794483,Acoustic
2019-12-17,1,42.2553933,-70.1794483,Acoustic
2019-12-27,1,42.2553933,-70.1794483,Acoustic
2019-12-28,1,42.2553933,-70.1794483,Acoustic
2019-12-31,1,42.2553933,-70.1794483,Acoustic
2020-01-01,1,42.2553933,-70.1794483,Acoustic
2020-04-07,1,42.437243,-70.54595,Acoustic
2020-04-08,1,42.437243,-70.54595,Acoustic
2020-04-09,1,42.437243,-70.54595,Acoustic
2020-04-12,1,42.437243,-70.54595,Acoustic
2020-04-13,1,42.437243,-70.54595,Acoustic
2020-04-14,1,42.437243,-70.54595,Acoustic
2020-04-15,1,42.437243,-70.54595,Acoustic
2020-04-16,1,42.437243,-70.54595,Acoustic
2020-04-17,1,42.437243,-70.54595,Acoustic
2020-04-20,1,42.437243,-70.54595,Acoustic
2020-04-21,1,42.437243,-70.54595,Acoustic
2020-07-09,1,42.254985,-70.179125,Acoustic
2020-08-12,1,42.254985,-70.179125,Acoustic
2019-11-30,1,42.25553,-70.1789733,Acoustic
2019-12-03,1,42.25553,-70.1789733,Acoustic
2019-12-10,1,42.4709883,-70.2423467,Acoustic
2019-12-16,1,42.4709883,-70.2423467,Acoustic
2019-12-17,1,42.4709883,-70.2423467,Acoustic
2019-12-20,1,42.4709883,-70.2423467,Acoustic
2019-12-28,1,42.4709883,-70.2423467,Acoustic
2019-12-31,1,42.4709883,-70.2423467,Acoustic
2020-01-03,1,42.4709883,-70.2423467,Acoustic
2020-01-04,1,42.4709883,-70.2423467,Acoustic
2020-01-07,1,42.4709883,-70.2423467,Acoustic
2020-01-08,1,42.4709883,-70.2423467,Acoustic
2020-01-10,1,42.4709883,-70.2423467,Acoustic
2020-01-12,1,42.4709883,-70.2423467,Acoustic
2020-01-13,1,42.4709883,-70.2423467,Acoustic
2020-01-14,1,42.4709883,-70.2423467,Acoustic
2020-01-15,1,42.4709883,-70.2423467,Acoustic
2020-01-16,1,42.4709883,-70.2423467,Acoustic
2020-01-18,1,42.4709883,-70.2423467,Acoustic
2020-01-22,1,42.4709883,-70.2423467,Acoustic
2020-01-23,1,42.4709883,-70.2423467,Acoustic
2020-01-24,1,42.4709883,-70.2423467,Acoustic
2020-01-29,1,42.4709883,-70.2423467,Acoustic
2018-11-17,1,42.25541,-70.178607,Acoustic
2018-12-04,1,42.25541,-70.178607,Acoustic
2018-12-05,1,42.25541,-70.178607,Acoustic
2018-12-07,1,42.25541,-70.178607,Acoustic
2018-12-27,1,42.25541,-70.178607,Acoustic
2020-12-22,1,31.396417,-80.8904,Acoustic
2020-12-28,1,31.396417,-80.8904,Acoustic
2020-12-30,1,31.396417,-80.8904,Acoustic
2021-01-02,1,31.396417,-80.8904,Acoustic
2021-01-11,1,31.396417,-80.8904,Acoustic
2021-01-17,1,31.396417,-80.8904,Acoustic
2021-01-18,1,31.396417,-80.8904,Acoustic
2021-01-20,1,31.396417,-80.8904,Acoustic
2021-01-27,1,31.396417,-80.8904,Acoustic
2019-01-30,1,42.43668,-70.546655,Acoustic
2019-03-02,1,42.43668,-70.546655,Acoustic
2019-03-12,1,42.43668,-70.546655,Acoustic
2019-03-13,1,42.43668,-70.546655,Acoustic
2019-03-19,1,42.43668,-70.546655,Acoustic
2019-03-26,1,42.43668,-70.546655,Acoustic
2019-03-28,1,42.43668,-70.546655,Acoustic
2019-03-30,1,42.43668,-70.546655,Acoustic
2019-03-31,1,42.43668,-70.546655,Acoustic
