Date,Lat,Lon,Presence,SST,Chlorophyll,Salinity,Bathymetry,SST_Gradient,Is_Thermal_Front,Month,Bathy_Slope,Dist_to_Shore_km,Dist_to_Shelf_km
2002-02-06,41.93,-70.52,1,12.146,3.857690572738647,32.46976576385498,-21.0,0.0530393780210503,True,2,6.897173355501373,2.8910960702018884,53.92296136735906
2002-02-06,43.19802,-69.33916,0,10.889,0.9173478484153748,33.21524183549403,-191.0,0.0104518450253964,False,2,18.274144793857452,70.90942804555651,0.5210983659161584
2002-02-06,40.33925,-72.16347,0,15.573,1.167612075805664,33.36312597363407,-64.0,0.044980099417582,True,2,0.4367704385868973,62.883734320820366,58.65017909158871
2002-02-06,42.25602,-67.03558,0,10.114,0.7273274660110474,33.183447809490154,-238.0,0.0115427558189958,False,2,10.975234404229019,151.93587268127513,0.6944635754940149
2002-02-06,40.64759,-68.32839,0,12.013,0.7302745580673218,32.790259128864506,-74.0,0.2294521196087883,True,2,1.9177684308322804,153.83098321840973,22.808148132077804
2002-02-07,41.88,-70.28,1,11.933,2.110162258148194,32.49136214675903,-29.0,0.0195127172422457,False,2,1.0779734099892202,16.497058268500144,41.94197455152713
2002-02-07,42.24,-70.2,1,11.786,2.0192699432373047,32.26048050689697,-37.0,0.0155787192003339,False,2,2.802066844863412,19.273787285056827,14.034181498728616
2002-02-07,42.2,-70.2,1,11.804,2.010755777359009,32.28670124053955,-36.0,0.0135693428284732,False,2,2.062305254658859,14.825990219274754,15.59607702529056
2002-02-07,42.15,-70.33,1,12.034,2.334578037261963,32.194741546630866,-37.0,0.0249121305264139,False,2,14.494400396034898,12.225106379543021,27.664531272398744
2002-02-07,40.60682,-68.38024,0,12.957,0.6627918481826782,32.889195211748195,-79.0,0.1176331358463997,True,2,1.7570221994559823,152.12036346512528,22.676136655309836
2002-02-07,41.86185,-68.04344,0,11.166,0.9712875485420228,33.047248824125,-97.0,0.0215930392535484,False,2,10.416941609960856,157.13445607921662,4.076425877774592
2002-02-07,40.42558,-67.58953,0,13.889,0.282279223203659,34.28915085647846,-152.0,0.247593610291612,True,2,6.8761860710628255,220.73439939644274,1.0091430653064424
2002-02-07,42.08889,-67.27368,0,10.436,1.2546545267105105,33.153266199580855,-47.0,0.027405099323748,False,2,1.6169601149838304,178.29513086134088,8.66768902392267
2002-02-07,42.45872,-68.41379,0,10.999,0.7397335171699524,33.14336817795172,-214.0,0.021741835957898,False,2,0.5389867049946101,141.6278523952023,0.9145950021453595
2002-02-07,41.29693,-67.36977,0,11.423,0.9575536847114564,32.634086845425706,-45.0,0.041260769012537,True,2,1.7395891444875957,217.01486541192813,75.0466003932185
2002-02-07,41.48842,-70.20327,0,11.852,3.6835203170776367,32.727591967124376,-13.0,0.0402864605397382,True,2,0.6392561436107601,18.00140855856551,56.46666007760075
2002-02-07,43.02916,-70.40658,0,11.294,1.3654406070709229,31.687619700393412,-103.0,0.0452575528769631,True,2,5.5158132339617065,22.036647374790657,8.911825255081286
2002-02-07,40.42193,-69.33582,0,13.106,0.7343944907188416,32.764084658804435,-75.0,0.1067518613159207,True,2,0.6392561436107601,107.70416717876167,34.09281063547634
2002-02-07,41.80064,-67.05514,0,10.474,1.3000108003616333,33.15231430388367,-60.0,0.0186559428668537,False,2,1.310311315760692,197.1049979328382,42.56421837155107
2002-02-07,40.81446,-67.54868,0,12.509,0.7562059164047241,32.66379264138241,-78.0,0.1232118596703547,True,2,0.4367704385868973,208.925200762581,34.14309963674806
2002-02-07,41.16174,-71.8166,0,13.957,3.74412202835083,32.95434282642114,-35.0,0.0172368306750141,False,2,3.780892966874575,11.373319457184513,127.90194045209303
2002-02-07,42.26939,-68.2973,0,10.963,0.5863714218139648,33.189395757419355,-203.0,0.0067641581654395,False,2,1.4917447548063218,143.75255323726992,0.3755791793551166
2002-02-07,41.85806,-68.52385,0,11.021,0.6340290307998657,33.0275883721964,-181.0,0.0230330712228479,False,2,5.084163216146014,117.44407864464829,1.075728545550121
2002-02-07,42.13133,-67.37883,0,10.298,1.0485173463821411,33.14646135885839,-134.0,0.0383054186403005,True,2,23.968042143388995,179.61973073953658,2.1089527025858974
2002-02-07,41.11806,-71.7135,0,13.997,3.524120569229126,32.950618441343835,-21.0,0.0313543867122292,False,2,2.1224580083429174,10.93360768389387,120.00449105655119
2002-02-14,41.84,-70.24,1,11.858,2.742711305618286,32.513717317199706,-19.0,0.0198765673517701,False,2,2.1838521929344865,11.709348772548342,40.944740414298984
2002-02-14,43.37895,-69.01177,0,10.518,1.0498037338256836,33.13913656740844,-148.0,0.0191560920087342,False,2,3.6022495153666383,64.55508718612413,1.4220328592645675
2002-02-14,39.35385,-69.0416,0,16.938000000000002,0.1770089864730835,35.7762191826117,-2773.0,0.0233802082374627,False,2,13.583821675992757,225.96030452484118,71.6422577873603
2002-02-14,39.77933,-68.51838,0,15.791,0.1972500383853912,35.67088865666131,-2512.0,0.0672487562654533,True,2,19.129247787129195,205.7534256470573,39.152214125697846
2002-02-14,40.57701,-72.20874,0,15.279,1.5832858085632324,33.21679472954131,-51.0,0.057051707669548,True,2,1.0657872244911843,36.56877538308163,84.00794189892476
2002-02-17,41.93,-70.13,1,11.717,3.31185245513916,32.493175573730475,-18.0,0.0169444044000823,False,2,3.7985174623481615,5.252193475868895,27.91425786443143
2002-02-17,42.00097,-68.04137,0,10.964,0.8212543725967407,33.09704572055218,-199.0,0.0195731968001383,False,2,3.7985174623481615,159.10875544140936,0.6727982671084548
2002-02-17,41.72389,-68.22322,0,11.142,1.700080633163452,32.97515904242819,-26.0,0.0122038057898333,False,2,5.520084217194426,141.91603934280178,10.591437471286705
2002-02-17,40.50958,-68.73686,0,13.04,0.6734759211540222,32.82675480347571,-70.0,0.0400963646397853,True,2,1.1314452799967576,133.31828350771616,32.04231448038113
2002-02-17,40.6675,-73.26076,0,15.842,53.192726135253906,33.211309694841,-1.0,0.0187426939257524,False,2,0.6392561436107601,2.0086856011065177,130.1439443726702
2002-02-22,41.93,-70.26,1,11.92,2.0372045040130615,32.44363591461182,-34.0,0.0202080244176634,False,2,1.2785122872215202,12.514776654555039,36.71163373517099
2002-02-22,42.03943,-68.60347,0,11.066,0.5844228267669678,33.069651451757096,-172.0,0.019140097330504,False,2,2.028686865246245,113.71210500867761,0.7360020539953486
2002-02-22,40.5207,-69.23219,0,12.108,0.7351113557815552,32.71449574569698,-70.0,0.0647633562901558,True,2,1.6530885525076011,103.39981329202121,39.577422739580506
2002-02-22,40.49606,-73.19846,0,15.794,3.5296008586883545,33.2242507372585,-28.0,0.0210514071264522,False,2,1.0612290041714587,18.060744480301388,111.2717486265972
2002-02-22,42.56081,-69.21357,0,10.812,0.7135204076766968,33.12792259891488,-218.0,0.0327100109242015,False,2,2.7497403395451454,91.44978538188897,0.6988711434044309
2002-02-23,41.93,-70.14,1,11.731,3.31185245513916,32.488963519287104,-18.0,0.0175961036202104,False,2,3.7985174623481615,6.077637469846116,28.642912183151893
2002-02-23,40.29095,-69.21605,0,13.77,0.548642098903656,32.81322070642818,-88.0,0.0950242764428299,True,2,1.0612290041714587,125.42076593508634,16.434911646516206
2002-02-23,40.99702,-69.33486,0,10.082,1.519465088844299,32.70092168820415,-45.0,0.0243856609211438,False,2,1.163521555025661,60.81909369938603,36.643771989994974
2002-02-23,42.11991,-66.80859,0,10.284,1.21116840839386,33.20176202008693,-80.0,0.0218978479775151,False,2,1.3474667624865253,156.33243337452032,7.083712989794423
2002-02-23,41.44429,-66.78902,0,10.621,1.284203052520752,32.70731476735906,-45.0,0.0407795157645184,True,2,0.26949335249730505,226.5146403611038,31.19444570537176
2002-02-25,41.79,-70.2,1,11.777,8.8124418258667,32.55546376037597,-12.0,0.0229168695976692,False,2,0.26949335249730505,5.236868785793206,41.69260941613851
2002-02-25,42.57912,-69.33983,0,11.004,0.737265944480896,33.10860820126936,-226.0,0.0366807644059365,True,2,0.7383723064774657,84.84608019526755,0.7088201595256802
2002-02-25,41.18006,-72.97777,0,15.209,12.879393577575684,,-11.0,0.0251807512878284,False,2,1.7570221994559823,5.211490209421228,173.7532991781412
2002-02-25,40.52039,-72.37632,0,15.45,2.0452840328216553,33.241753620861715,-48.0,0.0242087514051102,False,2,0.4367704385868973,37.28502696301155,85.3368701113256
2002-02-25,41.70412,-69.27435,0,10.884,0.7969355583190918,32.69094637259894,-194.0,0.0036430227572882,False,2,1.7570221994559823,54.7906708911759,0.785335962022975
2002-02-26,41.89,-70.31,1,11.984,2.210072755813598,32.49120964660645,-29.0,0.0191301776289239,False,2,0.8785110997279911,17.52754457397084,42.785282859440755
2002-02-26,43.68013,-69.53972,0,10.154,3.052999496459961,33.087470381888174,-101.0,0.0914196663736649,True,2,7.061958623973245,17.391818568293683,13.408104910796524
2002-02-26,40.86403,-69.89758,0,11.579,2.1002073287963867,32.63876649098266,-13.0,0.016310285973276,False,2,4.250041462147699,43.768632442937324,81.44949964721599
2002-02-26,40.05487,-72.86703,0,15.822,3.672622203826904,33.59531587214512,-53.0,0.027003095043155,False,2,1.0612290041714587,74.33692997605819,55.05513211874127
2002-02-26,40.1787,-69.80646,0,14.458,0.5301322340965271,33.430309608361576,-93.0,0.0198508929038019,False,2,1.1314452799967576,120.23467251748659,21.764382567814472
2002-03-01,41.87,-70.14,1,11.704,6.199001312255859,32.42765238342285,-6.0,0.0201811435433705,False,3,2.8988800792069798,7.985689736827281,32.304465175245184
