Id,Date,GROUPSIZE,Lat,Lon,CERTAINTY,CATEGORY,MOM_CALF,DUPLICATE,Presence,SST,Chlorophyll,Salinity,Bathymetry
8315.0,2002-03-01,2.0,41.87,-70.14,Definite,Dedicated Eg Aerial,No,,1,11.703999999999999,,32.42765238342285,-6.0
8314.0,2002-03-01,2.0,42.12,-70.51,Definite,Dedicated Eg Aerial,No,,1,12.321,,31.66400540466308,-34.0
,2002-03-01,,40.84182,-70.37636,,,,,0,12.850999999999999,,32.297049102043836,-49.0
,2002-03-01,,43.67497,-67.95805,,,,,0,9.408,,32.63562464710124,-206.0
,2002-03-01,,41.34099,-70.08611,,,,,0,11.647,,32.605152991816716,-13.0
,2002-03-01,,40.84786,-72.2115,,,,,0,15.273,,32.741679614409335,-33.0
,2002-03-01,,42.45077,-68.13176,,,,,0,10.406,,32.926890574570244,-167.0
,2002-03-01,,43.85046,-67.84239,,,,,0,9.132,,32.58602050874008,-188.0
,2002-03-01,,42.86085,-69.89534,,,,,0,11.269,,32.26352286515315,-236.0
,2002-03-01,,43.06905,-68.11975,,,,,0,10.346,,32.7218342778265,-171.0
8318.0,2002-03-02,2.0,41.84,-70.35,Definite,Dedicated Eg Aerial,No,,1,12.026,,32.41869169616699,-25.0
8317.0,2002-03-02,3.0,41.88,-70.17,Definite,Dedicated Eg Aerial,No,,1,11.756,,32.41294723815918,-17.0
8316.0,2002-03-02,2.0,41.89,-70.13,Definite,Dedicated Eg Aerial,No,,1,11.7,,32.41801511230469,-10.0
,2002-03-02,,40.12839,-68.44274,,,,,0,13.587,,33.003679141089975,-745.0
,2002-03-02,,40.83815,-71.08905,,,,,0,14.418,,32.4847186676714,-57.0
,2002-03-02,,40.46987,-68.73038,,,,,0,13.157,,32.26863146483565,-77.0
,2002-03-02,,40.54111,-72.1735,,,,,0,15.39,,32.96428586593383,-55.0
,2002-03-02,,40.17008,-70.77219,,,,,0,15.257,,34.127695599043086,-129.0
,2002-03-02,,41.93691,-68.57714,,,,,0,11.001,,32.96357678279429,-168.0
,2002-03-02,,41.24627,-69.90762,,,,,0,11.353,,32.69394378445582,-11.0
,2002-03-02,,40.76408,-70.42209,,,,,0,13.158,,32.256750021134835,-50.0
,2002-03-02,,40.11432,-69.27916,,,,,0,14.597,,33.08294378968048,-100.0
,2002-03-02,,39.75701,-69.44319,,,,,0,16.042,,34.896988602206385,-2054.0
,2002-03-02,,41.58169,-69.67085,,,,,0,10.866999999999999,,32.62347684881887,-38.0
,2002-03-02,,41.25719,-71.62838,,,,,0,13.688,,,-39.0
8319.0,2002-03-05,4.0,41.98,-70.12,Definite,Dedicated Eg Aerial,No,,1,11.714,,32.36616079254151,-16.0
,2002-03-05,,39.68735,-68.46393,,,,,0,16.424,,34.84988628834268,-2718.0
,2002-03-05,,42.3246,-69.1792,,,,,0,11.036,,32.77790722825439,-231.0
,2002-03-05,,43.7659,-69.01285,,,,,0,9.344999999999999,,32.78318848805595,-72.0
,2002-03-05,,42.59852,-66.72796,,,,,0,9.347,,32.80814967611284,-197.0
8321.0,2002-03-07,2.0,41.91,-70.2,Definite,Dedicated Eg Aerial,No,,1,11.815999999999999,,32.38402021789551,-29.0
,2002-03-07,,40.76873,-68.4303,,,,,0,10.975,,32.22706401555559,-49.0
